A,Code,Name,City,Country,LA1,LA2,LA3,LA4,LO1,LO2,LO3,LO4,Alt,Lat,Long
AYGA,GKA,GOROKA,GOROKA,PAPUA NEW GUINEA,006,004,054,S,145,023,030,E,01610,-6.082,145.392
AYLA,LAE,0000,LAE,PAPUA NEW GUINEA,000,000,000,U,000,000,000,U,00000,0.000,0.000
AYMD,MAG,MADANG,MADANG,PAPUA NEW GUINEA,005,012,025,S,145,047,019,E,00007,-5.207,145.789
AYMH,HGU,MOUNT HAGEN,MOUNT HAGEN,PAPUA NEW GUINEA,005,049,034,S,144,017,046,E,01643,-5.826,144.296
AYNZ,LAE,NADZAB,NADZAB,PAPUA NEW GUINEA,006,034,011,S,146,043,034,E,00073,-6.570,146.726
AYPY,POM,PORT MORESBY JACKSONS INTERNATIONAL,PORT MORESBY,PAPUA NEW GUINEA,009,026,036,S,147,013,012,E,00045,-9.443,147.220
AYRB,RAB,0000,RABAUL,PAPUA NEW GUINEA,000,000,000,U,000,000,000,U,00000,0.000,0.000
AYWK,WWK,WEWAK INTERNATIONAL,WEWAK,PAPUA NEW GUINEA,003,035,001,S,143,040,009,E,00006,-3.584,143.669
BGAM,0000,0000,ANGMAGSSALIK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGAS,0000,0000,ANGISSOQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGAT,0000,0000,APUTITEQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGBW,UAK,NARSARSUAQ,NARSSARSSUAQ,GREENLAND,061,009,040,N,045,025,039,W,00035,61.161,-45.427
BGCH,JCH,0000,CHRISTIANSHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGCO,0000,NERLERIT INAAT CONSTABLE PYNT,NERLERIT INAAT,GREENLAND,070,044,022,N,022,038,045,W,00014,70.739,-22.646
BGDB,0000,0000,DANEBORG,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGDH,0000,0000,DANMARKSHAVN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGDU,0000,0000,DUNDAS,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGEM,JEG,0000,EGEDESMINDE,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGFD,0000,0000,FREDERIKSDAL,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGFH,JFR,0000,FREDERIKSHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGGD,JGR,0000,GRONNEDAL,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGGH,GOH,NUUK,GODTHAAB,GREENLAND,064,011,027,N,051,040,041,W,00087,64.191,-51.678
BGGN,JGO,0000,GODHAVN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGHB,JHS,0000,HOLSTEINSBORG,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGIS,0000,0000,ISORTOQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGIT,0000,0000,IVIGTUT,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGJH,JJU,0000,JULIANEHAAB,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGJN,JAV,JACOBSHAVN,JAKOBSHAVN,GREENLAND,069,014,000,N,051,004,000,W,00034,69.233,-51.067
BGKD,0000,0000,KAP DAN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGKK,KUS,KULUSUK,KULUSUK,GREENLAND,065,035,000,N,037,009,000,W,00034,65.583,-37.150
BGKM,0000,0000,KUNGMIUT,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGKT,0000,0000,KAP TOBIN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGMV,0000,0000,MESTERS VIG,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGNN,JNN,0000,NANORTALIK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGNS,JNS,0000,NARSSAQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGOS,0000,0000,ORSSUIORSSUAQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGPC,0000,0000,PRINS CHRISTIAN SUND,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGRS,0000,0000,RAVNS STORO,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGSC,0000,0000,SCORESBYSUND,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGSF,SFJ,KANGERLUSSUAQ SONDRE STROMFJORD,SONDRESTROM,GREENLAND,067,001,001,N,050,041,021,W,00051,67.017,-50.689
BGSG,0000,0000,SERMILIGAO,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGST,JSU,0000,SUKKERTOPPEN,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGTL,THU,THULE AIR BASE,THULE,GREENLAND,076,031,052,N,068,042,011,W,00077,76.531,-68.703
BGTM,0000,0000,TINGMIARMIUT,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGTN,0000,0000,TINITEQILAQ,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGUM,0000,0000,UMANAK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BGUP,JUV,0000,UPERNAVIK,GREENLAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIAR,AEY,AKUREYRI,AKUREYRI,ICELAND,065,039,035,N,018,004,021,W,00002,65.660,-18.072
BIBL,0000,0000,BLONDUOS,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIDV,0000,0000,DJUOIVOGUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIEG,EGS,EGILSSTADIR,EGILSSTADIR,ICELAND,065,017,000,N,014,024,005,W,00024,65.283,-14.401
BIFM,0000,0000,FAGURHOLSMYRI,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIGR,GRY,0000,GRIMSEY,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIHN,HFN,HORNAFJORDUR,HOFN,ICELAND,064,017,044,N,015,013,038,W,00008,64.296,-15.227
BIHU,HZK,HUSAVIK,HUSAVIK,ICELAND,065,057,008,N,017,025,033,W,00014,65.952,-17.426
BIIS,IFJ,ISAFJORDUR,ISAFJORDUR,ICELAND,066,003,029,N,023,008,007,W,00003,66.058,-23.135
BIKF,KEF,KEFLAVIK NAS,KEFLAVIK,ICELAND,063,059,006,N,022,036,020,W,00053,63.985,-22.606
BIKP,OPA,KOPASKER,KOPASKER,ICELAND,066,018,049,N,016,027,040,W,00007,66.314,-16.461
BIKR,SAK,0000,SAUDARKROKUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BINF,NOR,0000,NORDFJORDUR,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIPA,PFJ,PATREKSFJORDUR,PATREKSFJORDUR,ICELAND,065,033,021,N,023,057,054,W,00004,65.556,-23.965
BIRG,RFN,0000,RAUFARHOFN,ICELAND,000,000,000,U,000,000,000,U,00000,0.000,0.000
BIRK,RKV,REYKJAVIK,REYKJAVIK,ICELAND,064,007,048,N,021,056,026,W,00015,64.130,-21.941
BISI,SIJ,SIGLUFJORDHUR,SIGLUFJORDUR,ICELAND,066,008,000,N,018,055,000,W,00004,66.133,-18.917
